Categoria,Item,Mês 1,Mês 2,Mês 3,Total 90 dias,Observações
SETUP INICIAL,Domínio + Hospedagem,200,0,0,200,Hostinger - Anual
SETUP INICIAL,Ferramentas Marketing,300,300,300,900,Autoresponder + Analytics
SETUP INICIAL,Criação Conteúdo,1000,0,0,1000,Freelancers iniciais
TRÁFEGO PAGO,Google Ads,600,1000,1500,3100,Pesquisa + Display
TRÁFEGO PAGO,Meta Ads (FB/IG),1000,1800,2500,5300,Conversão + Remarketing
TRÁFEGO PAGO,TikTok Ads,300,500,800,1600,Vídeos nativos
TRÁFEGO PAGO,YouTube Ads,100,200,200,500,In-stream ads
CONTEÚDO,Designer Freelancer,800,800,800,2400,Criativos mensais
CONTEÚDO,Copywriter,600,600,600,1800,Textos persuasivos
CONTEÚDO,Editor de Vídeo,400,400,400,1200,Conteúdo audiovisual
FERRAMENTAS,Canva Pro,50,50,50,150,Design templates
FERRAMENTAS,Hotjar,50,50,50,150,Heatmaps e análise
FERRAMENTAS,SEO Tools,100,100,100,300,Pesquisa palavras-chave
TOTAL INVESTIMENTO,,4600,4800,5300,14700,
VENDAS ESPERADAS,,66,132,198,396,Baseado em 3% conversão
RECEITA BRUTA,,10000,20000,30000,60000,Comissão 77% = R$151.69/venda
LUCRO LÍQUIDO,,5400,15200,24700,45300,Receita - Investimento
ROI,,2.17,4.17,5.66,4.08,Retorno sobre investimento
MARGEM LUCRO,,54%,76%,82%,75.5%,Percentual de lucro

